CourseID,Title,Category,Sub_Category,Language,Skills,Instructor,Rating,Enrollments,Duration,Platform,PriceUSD,Certification,Level,ReleaseYear
248,Tableau Data Visualization,Data Science,Statistics,Spanish,"SQL, Power BI, Data Analysis, Python, Machine Learning",Aaron Carlson,3.1 stars,25694,17 hours,Udemy,$99,Yes,Intermediate,2019
249,Applied Data Science with Python,Data Science,Machine Learning,French,"Data Analysis, Excel, Power BI, SQL, R",Theresa Torres,3.2 stars,71493,10 hours,FutureLearn,$29,Yes,Beginner,2019
250,Excel to MySQL: Analytic Techniques,Data Science,Deep Learning,English,"SQL, Python, R, Excel, Power BI",Stephanie Cooper,3.4 stars,55399,20 hours,edX,$49,Yes,Beginner,2021
251,Introduction to Data Science in Python,Data Science,Big Data,English,"Deep Learning, Machine Learning, Python, SQL, R",Matthew Hunt,4.8 stars,71558,23 hours,edX,$49,Yes,Intermediate,2022
252,Natural Language Processing with Deep Learning,Data Science,Deep Learning,English,"Deep Learning, Python, SQL, Machine Learning, Data Analysis",Daniel Davenport,4.9 stars,12488,32 hours,edX,$99,Yes,Intermediate,2018
253,Google Data Analytics Certificate,Data Science,Deep Learning,French,"Excel, SQL, Deep Learning, Data Analysis, Python",Christopher Marsh,4.1 stars,18682,34 hours,FutureLearn,$49,Yes,Advanced,2022
254,Data Structures and Algorithms Specialization,Data Science,Deep Learning,Hindi,"Data Analysis, Python, Power BI, SQL, Deep Learning",Sarah Randolph,3.2 stars,25447,21 hours,FutureLearn,$49,Yes,Beginner,2022
255,SQL for Data Science,Data Science,Statistics,French,"Deep Learning, Excel, Machine Learning, R, Power BI",Julia Dunn MD,4.7 stars,30460,60 hours,Udemy,$19,Yes,Beginner,2024
256,Deep Learning Specialization,IT & Software,Cybersecurity,French,"Critical Thinking, Networking, Azure, AWS, DevOps",Brett Swanson,4.9 stars,3103,36 hours,FutureLearn,$19,Yes,Intermediate,2023
257,Business Analytics with Excel,Business,Leadership,French,"Critical Thinking, Power BI, Communication, Leadership, Excel",Mr. Carl Rios,3.5 stars,53195,38 hours,Udemy,$299,Yes,Beginner,2020
258,AWS Cloud Practitioner Essentials,IT & Software,Cloud Computing,Spanish,"DevOps, Azure, AWS, Networking, Critical Thinking",Manuel Mccullough,3.7 stars,20968,10 hours,FutureLearn,$19,Yes,Advanced,2024
259,Introduction to Data Science in Python,Data Science,Data Analysis,Spanish,"Python, Power BI, Data Analysis, R, Machine Learning",Jerry Jensen,3.8 stars,19805,51 hours,Coursera,$0,Yes,Advanced,2023
260,AI For Everyone,Data Science,Deep Learning,English,"SQL, R, Excel, Data Analysis, Machine Learning",Kevin Cunningham,4.1 stars,70126,54 hours,edX,$49,Yes,Beginner,2021
261,Natural Language Processing with Deep Learning,IT & Software,Networking,Spanish,"Critical Thinking, AWS, DevOps, Networking, Azure",Eugene Patterson,4.6 stars,79420,49 hours,Udemy,$299,Yes,Advanced,2024
262,AI For Everyone,Data Science,Statistics,Hindi,"Power BI, Deep Learning, R, Data Analysis, Excel",David Walker,3.6 stars,79476,26 hours,Coursera,$199,Yes,Advanced,2018
263,Tableau Data Visualization,Data Science,Data Analysis,English,"Deep Learning, Machine Learning, Excel, R, Power BI",Jessica Larsen,4.4 stars,57955,10 hours,edX,$299,Yes,Beginner,2019
264,Excel to MySQL: Analytic Techniques,Data Science,Statistics,Hindi,"Power BI, Machine Learning, Excel, Deep Learning, SQL",Nicholas Humphrey,3.1 stars,80785,33 hours,edX,$99,Yes,Intermediate,2024
265,Tableau Data Visualization,Data Science,Machine Learning,French,"SQL, Deep Learning, Power BI, Machine Learning, R",Ian Torres,3.8 stars,19749,59 hours,FutureLearn,$99,Yes,Advanced,2021
266,Java Programming and Software Engineering,Computer Science,Web Development,Spanish,"Python, SQL, Azure, React, JavaScript",Casey Obrien,4.4 stars,185,30 hours,Udemy,$299,Yes,Advanced,2023
267,SQL for Data Science,Data Science,Deep Learning,Spanish,"Deep Learning, Python, Excel, Data Analysis, Power BI",Shannon Taylor,4.5 stars,51238,29 hours,edX,$199,Yes,Advanced,2021
268,Python for Everybody,Data Science,Statistics,Hindi,"Python, Excel, Deep Learning, Power BI, SQL",Deborah Mercado,4.6 stars,45009,59 hours,edX,$29,Yes,Intermediate,2020
269,Natural Language Processing with Deep Learning,Business,Strategy,Spanish,"Critical Thinking, Power BI, Communication, Excel, Leadership",Bernard Smith,4.7 stars,80235,23 hours,Udemy,$19,Yes,Advanced,2019
270,Machine Learning by Stanford University,Data Science,Deep Learning,English,"R, Power BI, Machine Learning, SQL, Excel",Amanda Perkins,3.7 stars,21651,21 hours,Coursera,$99,Yes,Advanced,2023
271,Full-Stack Web Development with React,Computer Science,Cybersecurity,Spanish,"Python, AWS, SQL, React, Azure",Kevin Escobar,3.8 stars,75524,15 hours,FutureLearn,$19,Yes,Advanced,2019
272,SQL for Data Science,Data Science,Deep Learning,English,"Deep Learning, R, Power BI, Data Analysis, Python",Kimberly Lutz,4.1 stars,51377,28 hours,edX,$19,Yes,Beginner,2023
273,Python for Everybody,Data Science,Big Data,Spanish,"R, Machine Learning, Excel, Data Analysis, Python",Reginald Diaz,4.5 stars,89242,23 hours,edX,$99,Yes,Beginner,2018
274,Full-Stack Web Development with React,Computer Science,Web Development,English,"SQL, AWS, JavaScript, Azure, React",Raymond Quinn,4.8 stars,78612,35 hours,Udemy,$299,Yes,Beginner,2019
275,Deep Learning Specialization,IT & Software,Networking,Spanish,"Critical Thinking, Azure, DevOps, AWS, Networking",John Dixon,3.4 stars,40415,10 hours,edX,$299,Yes,Intermediate,2021
276,Google Data Analytics Certificate,Data Science,Machine Learning,Hindi,"Deep Learning, Power BI, Data Analysis, SQL, Python",Jonathan Bates,3.7 stars,28210,57 hours,FutureLearn,$19,Yes,Intermediate,2023
277,AWS Cloud Practitioner Essentials,IT & Software,Cloud Computing,Spanish,"Azure, DevOps, Critical Thinking, Networking, AWS",Renee Mendez,4.9 stars,19719,49 hours,Coursera,$0,No,Intermediate,2024
278,Deep Learning Specialization,Data Science,Machine Learning,French,"Deep Learning, SQL, Machine Learning, Excel, Python",Jose Griffin,4.1 stars,79407,51 hours,Udemy,$199,Yes,Intermediate,2018
279,Machine Learning by Stanford University,Data Science,Data Analysis,Hindi,"Deep Learning, SQL, Power BI, R, Data Analysis",Travis Hopkins,4.8 stars,43470,40 hours,FutureLearn,$49,Yes,Intermediate,2018
280,Deep Learning Specialization,Computer Science,Cloud Computing,Hindi,"React, AWS, Azure, Python, SQL",Nancy Webb,3.3 stars,92650,26 hours,edX,$299,Yes,Advanced,2023
281,The Science of Well-Being,Computer Science,Cybersecurity,Spanish,"Azure, AWS, React, Python, SQL",Daniel Freeman,3.4 stars,16994,24 hours,Coursera,$299,Yes,Beginner,2024
282,Tableau Data Visualization,Data Science,Big Data,Hindi,"Deep Learning, Python, SQL, Power BI, R",Jacob Williams,4.6 stars,48924,45 hours,Udemy,$0,Yes,Advanced,2023
283,Business Analytics with Excel,Business,Business Analytics,Spanish,"Leadership, Excel, Power BI, Communication, Critical Thinking",Terry Ward,3.1 stars,830,25 hours,edX,$299,Yes,Intermediate,2018
284,Full-Stack Web Development with React,Computer Science,Web Development,Spanish,"Azure, React, Python, SQL, JavaScript",Jesse Williams,3.6 stars,68232,38 hours,FutureLearn,$29,Yes,Intermediate,2022
285,Natural Language Processing with Deep Learning,IT & Software,DevOps,French,"Azure, DevOps, Networking, AWS, Critical Thinking",Mrs. Michele Boyd,4.4 stars,38460,46 hours,FutureLearn,$49,Yes,Beginner,2023
286,Tableau Data Visualization,Data Science,Machine Learning,Hindi,"Data Analysis, Excel, R, SQL, Power BI",Sandy Baker,4.9 stars,9221,38 hours,Udemy,$29,Yes,Beginner,2023
287,Business Analytics with Excel,Business,Strategy,Hindi,"Leadership, Excel, Power BI, Communication, Critical Thinking",Carrie Valdez,4.8 stars,84660,5 hours,edX,$19,Yes,Advanced,2018
288,Google Data Analytics Certificate,Data Science,Machine Learning,Spanish,"Power BI, Deep Learning, Python, Excel, SQL",Matthew Houston,4.0 stars,26833,50 hours,FutureLearn,$49,Yes,Intermediate,2018
289,The Science of Well-Being,IT & Software,Cybersecurity,Hindi,"DevOps, Critical Thinking, Networking, AWS, Azure",Jamie Solomon,4.8 stars,63024,34 hours,edX,$19,Yes,Intermediate,2023
290,Full-Stack Web Development with React,Computer Science,Cybersecurity,English,"AWS, SQL, React, JavaScript, Python",Heather Parrish,3.7 stars,81182,10 hours,FutureLearn,$19,Yes,Intermediate,2023
291,Excel to MySQL: Analytic Techniques,Data Science,Statistics,Hindi,"Machine Learning, Deep Learning, Python, Excel, Power BI",Mr. Larry Shaw,4.4 stars,15950,46 hours,FutureLearn,$99,Yes,Beginner,2018
292,AWS Cloud Practitioner Essentials,IT & Software,DevOps,English,"Azure, Critical Thinking, DevOps, AWS, Networking",Christopher Jones,3.7 stars,22715,14 hours,Udemy,$299,Yes,Advanced,2021
293,Machine Learning by Stanford University,Data Science,Deep Learning,Spanish,"SQL, Deep Learning, Machine Learning, Data Analysis, Python",Christine Lopez,3.5 stars,72275,14 hours,Udemy,$199,Yes,Beginner,2020
294,Applied Data Science with Python,Data Science,Data Analysis,Spanish,"Machine Learning, Power BI, R, Deep Learning, SQL",Mitchell Wilson,3.5 stars,16111,36 hours,FutureLearn,$29,Yes,Advanced,2023
295,Introduction to Data Science in Python,Data Science,Big Data,Spanish,"Machine Learning, SQL, Excel, Data Analysis, Power BI",Robert Cortez,3.5 stars,33378,41 hours,FutureLearn,$0,Yes,Advanced,2023
296,Java Programming and Software Engineering,Computer Science,Programming,Hindi,"Python, React, AWS, JavaScript, SQL",Mr. Daniel Martin,3.9 stars,21345,8 hours,edX,$99,Yes,Beginner,2023
297,Big Data Essentials,Data Science,Statistics,French,"Excel, Power BI, R, Machine Learning, Python",Alison Williams,4.4 stars,42944,13 hours,Udemy,$19,Yes,Beginner,2019
298,Java Programming and Software Engineering,Computer Science,Programming,English,"Azure, JavaScript, Python, React, SQL",Candace Soto,4.1 stars,22810,7 hours,Coursera,$199,Yes,Intermediate,2024
299,The Science of Well-Being,IT & Software,DevOps,Hindi,"Critical Thinking, DevOps, Networking, Azure, AWS",Kenneth Brown,4.4 stars,94739,50 hours,edX,$199,Yes,Advanced,2022
300,Big Data Essentials,Data Science,Data Analysis,English,"Data Analysis, SQL, Deep Learning, R, Machine Learning",Christopher Mullen,3.4 stars,36555,24 hours,Udemy,$0,No,Intermediate,2023
301,Machine Learning by Stanford University,Data Science,Machine Learning,Hindi,"Deep Learning, Python, Machine Learning, Power BI, Data Analysis",Kristy Smith,4.9 stars,95514,41 hours,Coursera,$299,Yes,Beginner,2024
302,Python for Everybody,Data Science,Deep Learning,English,"Data Analysis, Power BI, Deep Learning, R, Excel",Mary Campbell,3.2 stars,26162,35 hours,edX,$199,Yes,Advanced,2024
303,Introduction to Data Science in Python,Data Science,Statistics,French,"Machine Learning, Python, R, SQL, Power BI",Jerry Haney,5.0 stars,10932,18 hours,FutureLearn,$99,Yes,Beginner,2022
304,Introduction to Data Science in Python,Data Science,Machine Learning,Hindi,"Data Analysis, Machine Learning, Python, SQL, R",Carolyn Greer,3.3 stars,90118,49 hours,FutureLearn,$0,No,Intermediate,2021
305,SQL for Data Science,Data Science,Deep Learning,French,"Python, Excel, R, Power BI, Deep Learning",Rebecca Hoover,3.8 stars,17074,16 hours,Coursera,$0,No,Beginner,2022
306,Google Data Analytics Certificate,Data Science,Machine Learning,Hindi,"Excel, SQL, Deep Learning, Data Analysis, Machine Learning",Matthew Baker,4.9 stars,97981,51 hours,Udemy,$19,Yes,Beginner,2020
307,Data Structures and Algorithms Specialization,Data Science,Statistics,English,"Machine Learning, Excel, Power BI, Data Analysis, SQL",Grace Chavez,4.3 stars,59782,46 hours,edX,$99,Yes,Advanced,2018
308,AWS Cloud Practitioner Essentials,IT & Software,Cybersecurity,French,"Networking, Azure, AWS, Critical Thinking, DevOps",Crystal Cruz,4.3 stars,18530,26 hours,Coursera,$0,Yes,Advanced,2023
309,Data Structures and Algorithms Specialization,Data Science,Data Analysis,English,"Data Analysis, SQL, R, Excel, Machine Learning",Dale Heath,4.7 stars,77616,17 hours,edX,$19,Yes,Intermediate,2023
310,The Science of Well-Being,Arts,Design,French,"Creativity, Communication, Design, Photography",Jennifer Hernandez,4.6 stars,12836,19 hours,FutureLearn,$299,Yes,Beginner,2019
311,Data Structures and Algorithms Specialization,Data Science,Data Analysis,Spanish,"Machine Learning, Excel, Data Analysis, R, Deep Learning",John Mendez,3.8 stars,17183,18 hours,Coursera,$99,Yes,Intermediate,2018
312,Full-Stack Web Development with React,Computer Science,Web Development,Spanish,"JavaScript, Python, React, Azure, AWS",Richard Gordon,4.2 stars,62924,19 hours,FutureLearn,$0,No,Intermediate,2018
313,Machine Learning by Stanford University,Data Science,Deep Learning,English,"Python, Machine Learning, Deep Learning, Excel, Power BI",John Anderson,3.8 stars,17137,13 hours,edX,$49,Yes,Advanced,2023
314,The Science of Well-Being,Data Science,Data Analysis,Spanish,"Deep Learning, Data Analysis, SQL, Python, Excel",Samantha Prince,3.1 stars,7787,12 hours,Coursera,$199,Yes,Advanced,2020
315,Java Programming and Software Engineering,Computer Science,Cloud Computing,Spanish,"React, AWS, Azure, Python, SQL",Marie Boyd,4.2 stars,48713,33 hours,edX,$299,Yes,Intermediate,2020
316,Cybersecurity for Business,Business,Finance,Spanish,"Excel, Power BI, Critical Thinking, Communication, Leadership",Andrew Moreno,3.9 stars,458,12 hours,Coursera,$19,Yes,Advanced,2018
317,Java Programming and Software Engineering,Computer Science,Programming,French,"AWS, JavaScript, Azure, React, SQL",Robert Clarke,4.1 stars,13256,33 hours,FutureLearn,$299,Yes,Intermediate,2024
318,Statistics with Python,Data Science,Machine Learning,English,"Excel, SQL, Machine Learning, R, Python",Kevin Figueroa,4.0 stars,95358,47 hours,edX,$99,Yes,Intermediate,2018
319,Java Programming and Software Engineering,Computer Science,Web Development,English,"AWS, JavaScript, Azure, Python, React",Melissa Davis,3.4 stars,5664,31 hours,FutureLearn,$49,Yes,Beginner,2019
320,Statistics with Python,Data Science,Machine Learning,Spanish,"Excel, Deep Learning, SQL, Data Analysis, Python",John Hall,3.7 stars,69659,22 hours,FutureLearn,$0,No,Intermediate,2019
321,Business Analytics with Excel,Business,Finance,French,"Excel, Leadership, Communication, Critical Thinking, Power BI",Diane Mcdowell,3.4 stars,69789,60 hours,edX,$0,No,Intermediate,2021
322,Java Programming and Software Engineering,Computer Science,Cloud Computing,English,"AWS, SQL, React, JavaScript, Azure",Colin Fletcher,3.7 stars,88055,56 hours,Udemy,$0,Yes,Advanced,2021
323,Introduction to Data Science in Python,Data Science,Deep Learning,Hindi,"Excel, Data Analysis, Machine Learning, Deep Learning, R",Laura Wilson,3.2 stars,76796,9 hours,Udemy,$299,Yes,Beginner,2023
324,Java Programming and Software Engineering,Computer Science,Cloud Computing,French,"JavaScript, Azure, AWS, Python, SQL",Matthew Watts,3.2 stars,43397,45 hours,Coursera,$49,Yes,Beginner,2024
325,Tableau Data Visualization,Data Science,Machine Learning,Spanish,"Python, Machine Learning, R, Power BI, Deep Learning",Jack Moore,3.1 stars,98275,46 hours,edX,$0,Yes,Advanced,2019
326,Excel to MySQL: Analytic Techniques,Data Science,Statistics,English,"SQL, Power BI, Deep Learning, R, Data Analysis",Dawn Wyatt,3.6 stars,87618,50 hours,Coursera,$99,Yes,Intermediate,2024
327,Introduction to Data Science in Python,Data Science,Deep Learning,Spanish,"Python, Data Analysis, R, Deep Learning, Excel",Jacob Hill,4.3 stars,78472,57 hours,FutureLearn,$299,Yes,Intermediate,2024
328,AI For Everyone,Data Science,Statistics,French,"Excel, Deep Learning, SQL, Python, Power BI",Nicole Gutierrez,4.4 stars,54439,29 hours,edX,$49,Yes,Beginner,2021
329,Natural Language Processing with Deep Learning,Arts,Design,French,"Design, Creativity, Communication, Photography",Karen Wood,4.0 stars,34987,20 hours,Udemy,$0,No,Beginner,2024
330,Cybersecurity for Business,Business,Marketing,French,"Critical Thinking, Excel, Leadership, Power BI, Communication",Dawn Parker,4.6 stars,8881,50 hours,edX,$99,Yes,Beginner,2021
331,Deep Learning Specialization,Business,Leadership,English,"Excel, Critical Thinking, Leadership, Power BI, Communication",Michael Fitzgerald,3.8 stars,20856,47 hours,Coursera,$0,Yes,Advanced,2024
332,Natural Language Processing with Deep Learning,Computer Science,Programming,English,"AWS, JavaScript, Python, React, SQL",Mary Adkins,3.2 stars,58355,6 hours,edX,$19,Yes,Advanced,2022
333,Introduction to Data Science in Python,Data Science,Machine Learning,Hindi,"SQL, R, Machine Learning, Data Analysis, Power BI",Michael Martin,3.3 stars,15860,33 hours,edX,$99,Yes,Advanced,2022
334,Google Data Analytics Certificate,Data Science,Deep Learning,Hindi,"Excel, R, Data Analysis, Machine Learning, Python",James Morgan,3.1 stars,3467,21 hours,Coursera,$99,Yes,Intermediate,2021
335,Python for Everybody,Data Science,Data Analysis,English,"Excel, Deep Learning, Python, SQL, R",Melissa Mann,3.6 stars,52952,10 hours,Coursera,$49,Yes,Beginner,2022
336,AWS Cloud Practitioner Essentials,IT & Software,DevOps,French,"Critical Thinking, Networking, AWS, Azure, DevOps",Vincent Smith,4.2 stars,87954,59 hours,FutureLearn,$49,Yes,Advanced,2023
337,Excel to MySQL: Analytic Techniques,Data Science,Machine Learning,English,"R, Python, Excel, Data Analysis, SQL",Charles Frost,3.5 stars,11691,55 hours,FutureLearn,$199,Yes,Beginner,2020
338,The Science of Well-Being,Arts,Design,Spanish,"Communication, Photography, Creativity, Design",Austin Walker,4.3 stars,90661,40 hours,Udemy,$49,Yes,Intermediate,2023
339,Statistics with Python,Data Science,Big Data,Spanish,"Deep Learning, Python, Machine Learning, R, Excel",Andrew Cruz,4.3 stars,79365,31 hours,edX,$19,Yes,Advanced,2021
340,Statistics with Python,Data Science,Big Data,Spanish,"Machine Learning, Deep Learning, Data Analysis, R, Excel",Miss Kelly Dawson,3.9 stars,41046,14 hours,Coursera,$0,No,Intermediate,2018
341,Tableau Data Visualization,Data Science,Deep Learning,Hindi,"Deep Learning, Python, Machine Learning, SQL, R",Theresa Wilkins,4.7 stars,53397,22 hours,Udemy,$29,Yes,Beginner,2022
342,Applied Data Science with Python,Data Science,Statistics,English,"Machine Learning, Data Analysis, R, Excel, SQL",Jessica Harris,4.8 stars,18117,21 hours,FutureLearn,$99,Yes,Intermediate,2019
343,Statistics with Python,Data Science,Statistics,English,"Excel, R, Power BI, Python, Machine Learning",Regina Mitchell,3.2 stars,9780,18 hours,Coursera,$0,Yes,Advanced,2024
344,AI For Everyone,Data Science,Deep Learning,French,"Deep Learning, Excel, R, SQL, Power BI",Kyle Black,3.2 stars,28063,35 hours,FutureLearn,$199,Yes,Beginner,2020
345,Data Structures and Algorithms Specialization,Data Science,Deep Learning,Spanish,"Machine Learning, Python, Data Analysis, Deep Learning, Power BI",Christopher Johnson,4.6 stars,91893,6 hours,Udemy,$49,Yes,Intermediate,2020
346,Python for Everybody,Data Science,Data Analysis,Spanish,"Excel, SQL, Data Analysis, Python, R",Aaron Moore,4.3 stars,25429,49 hours,edX,$49,Yes,Intermediate,2018
347,Statistics with Python,Data Science,Statistics,English,"Power BI, Machine Learning, Python, Excel, R",Penny Gomez MD,4.5 stars,16716,49 hours,edX,$199,Yes,Advanced,2022
348,Deep Learning Specialization,IT & Software,Cloud Computing,Spanish,"Critical Thinking, AWS, Azure, Networking, DevOps",Kelly Mclaughlin,3.2 stars,35603,31 hours,Coursera,$0,No,Beginner,2024
349,Full-Stack Web Development with React,Computer Science,Cybersecurity,French,"AWS, Python, React, SQL, Azure",Brandon Mitchell,4.2 stars,70669,44 hours,Udemy,$29,Yes,Advanced,2022
350,Business Analytics with Excel,Business,Finance,English,"Power BI, Critical Thinking, Excel, Communication, Leadership",Suzanne Bailey,3.7 stars,77216,21 hours,edX,$199,Yes,Advanced,2018
351,Machine Learning by Stanford University,Data Science,Machine Learning,French,"SQL, R, Excel, Power BI, Deep Learning",Destiny Obrien,5.0 stars,32395,49 hours,FutureLearn,$0,Yes,Advanced,2018
352,Data Structures and Algorithms Specialization,Data Science,Data Analysis,English,"SQL, Python, Machine Learning, Power BI, Deep Learning",Timothy Andrews,3.5 stars,78219,39 hours,FutureLearn,$199,Yes,Beginner,2021
353,Big Data Essentials,Data Science,Data Analysis,Spanish,"Machine Learning, Excel, Deep Learning, SQL, Python",Jason Rodriguez,3.7 stars,78676,8 hours,FutureLearn,$99,Yes,Intermediate,2018
354,Google Data Analytics Certificate,Data Science,Machine Learning,Hindi,"Python, R, Deep Learning, Power BI, Data Analysis",Edward Arroyo,3.6 stars,76169,21 hours,Udemy,$299,Yes,Beginner,2020
355,Natural Language Processing with Deep Learning,Arts,Creative Writing,French,"Photography, Communication, Design, Creativity",Tina Walter,3.1 stars,57221,21 hours,Udemy,$49,Yes,Beginner,2024
356,Natural Language Processing with Deep Learning,Computer Science,Cybersecurity,English,"React, SQL, Azure, Python, AWS",Laura Benson,4.1 stars,40538,54 hours,edX,$99,Yes,Beginner,2019
357,Python for Everybody,Data Science,Statistics,French,"Python, Machine Learning, SQL, Deep Learning, Data Analysis",Kristine Carrillo,4.8 stars,17245,59 hours,Udemy,$29,Yes,Intermediate,2020
358,Applied Data Science with Python,Data Science,Data Analysis,English,"Python, Excel, Machine Learning, Data Analysis, R",Tonya Ellis,3.0 stars,88608,32 hours,Udemy,$19,Yes,Beginner,2018
359,Excel to MySQL: Analytic Techniques,Data Science,Deep Learning,French,"Data Analysis, Excel, SQL, Machine Learning, R",Kevin Johnson,3.6 stars,17707,53 hours,edX,$49,Yes,Advanced,2018
360,Applied Data Science with Python,Data Science,Big Data,English,"Python, Excel, Power BI, SQL, Data Analysis",Austin Schultz,3.2 stars,66076,57 hours,edX,$199,Yes,Advanced,2024
361,Deep Learning Specialization,IT & Software,DevOps,French,"AWS, Critical Thinking, Networking, DevOps, Azure",Megan Hall MD,4.0 stars,64919,40 hours,Udemy,$49,Yes,Beginner,2024
362,Python for Everybody,Data Science,Machine Learning,English,"Data Analysis, R, Power BI, Excel, Machine Learning",Kelli Smith,4.9 stars,35908,33 hours,Udemy,$299,Yes,Advanced,2021
363,Big Data Essentials,Data Science,Data Analysis,English,"Data Analysis, Deep Learning, Machine Learning, Python, SQL",Danielle Davis,4.8 stars,7108,18 hours,edX,$199,Yes,Beginner,2023
364,Full-Stack Web Development with React,Computer Science,Cloud Computing,English,"SQL, Python, React, AWS, Azure",Samantha Jones,3.9 stars,46021,57 hours,Udemy,$299,Yes,Intermediate,2020
365,Applied Data Science with Python,Data Science,Statistics,Spanish,"Data Analysis, Excel, SQL, Python, Deep Learning",Karen Gomez,4.8 stars,47551,56 hours,edX,$99,Yes,Beginner,2018
366,Java Programming and Software Engineering,Computer Science,Cloud Computing,Hindi,"SQL, Azure, AWS, Python, React",Debra Valentine,4.7 stars,10153,12 hours,Udemy,$29,Yes,Beginner,2019
367,Cybersecurity for Business,Business,Finance,French,"Communication, Critical Thinking, Power BI, Leadership, Excel",Susan Porter,4.5 stars,31936,47 hours,edX,$49,Yes,Advanced,2023
368,Cybersecurity for Business,Business,Business Analytics,Hindi,"Critical Thinking, Excel, Leadership, Communication, Power BI",Nicolas Salas,4.6 stars,62324,27 hours,Coursera,$199,Yes,Advanced,2022
369,Java Programming and Software Engineering,Computer Science,Programming,Spanish,"JavaScript, AWS, React, Azure, SQL",Dale Wright,4.4 stars,25575,7 hours,FutureLearn,$29,Yes,Advanced,2024
370,Statistics with Python,Data Science,Deep Learning,Hindi,"Deep Learning, Excel, R, Power BI, SQL",Brittney Rodriguez,3.7 stars,30183,24 hours,Coursera,$29,Yes,Beginner,2024
371,Google Data Analytics Certificate,Data Science,Machine Learning,Spanish,"SQL, Deep Learning, Machine Learning, Power BI, R",Megan Alvarado,4.0 stars,8876,58 hours,FutureLearn,$99,Yes,Intermediate,2019
372,AI For Everyone,Data Science,Data Analysis,French,"R, Data Analysis, Deep Learning, Power BI, Excel",Pamela Weaver,3.1 stars,69795,18 hours,edX,$29,Yes,Advanced,2018
373,Python for Everybody,Data Science,Big Data,Spanish,"Machine Learning, Excel, Deep Learning, R, Python",John Oliver,3.5 stars,78186,12 hours,Udemy,$0,Yes,Advanced,2021
374,Cybersecurity for Business,Business,Strategy,Hindi,"Power BI, Communication, Critical Thinking, Excel, Leadership",William Prince PhD,4.8 stars,90618,43 hours,Coursera,$99,Yes,Intermediate,2020
375,Excel to MySQL: Analytic Techniques,Data Science,Big Data,French,"Data Analysis, Power BI, Machine Learning, Python, Excel",William Moon IV,4.4 stars,33365,29 hours,Udemy,$299,Yes,Beginner,2024
376,AI For Everyone,Data Science,Machine Learning,Hindi,"Power BI, Deep Learning, Data Analysis, SQL, Excel",Kenneth Brown,4.7 stars,85126,19 hours,FutureLearn,$19,Yes,Beginner,2022
377,SQL for Data Science,Data Science,Deep Learning,French,"Machine Learning, R, Python, SQL, Deep Learning",Karen Fernandez,3.1 stars,20693,41 hours,Udemy,$199,Yes,Beginner,2022
378,Cybersecurity for Business,Business,Strategy,English,"Leadership, Excel, Power BI, Communication, Critical Thinking",Jennifer Parks,3.0 stars,30249,16 hours,Coursera,$0,No,Beginner,2018
379,Full-Stack Web Development with React,Computer Science,Cloud Computing,French,"React, Azure, AWS, JavaScript, SQL",William Wolfe,4.4 stars,16051,5 hours,Coursera,$0,No,Intermediate,2019
380,Cybersecurity for Business,Business,Marketing,Spanish,"Critical Thinking, Leadership, Excel, Power BI, Communication",Michael Smith,4.9 stars,85280,20 hours,Coursera,$99,Yes,Advanced,2022
381,SQL for Data Science,Data Science,Machine Learning,Spanish,"Excel, Data Analysis, Machine Learning, R, SQL",Kevin Nguyen,3.6 stars,77262,25 hours,Coursera,$19,Yes,Beginner,2018
382,AI For Everyone,Data Science,Deep Learning,Spanish,"Python, Machine Learning, Power BI, SQL, Excel",Debbie Dunn,4.9 stars,97380,42 hours,FutureLearn,$29,Yes,Intermediate,2024
383,Statistics with Python,Data Science,Machine Learning,French,"Deep Learning, Python, Excel, Power BI, Machine Learning",John Austin,3.8 stars,12162,9 hours,Coursera,$49,Yes,Advanced,2021
384,Data Structures and Algorithms Specialization,Data Science,Data Analysis,English,"R, Power BI, Python, Deep Learning, SQL",Jonathan Clark,4.6 stars,71095,25 hours,Coursera,$29,Yes,Intermediate,2022
385,Python for Everybody,Data Science,Statistics,English,"R, Power BI, Excel, Machine Learning, Python",Jacqueline Dickerson,3.7 stars,73722,53 hours,Udemy,$99,Yes,Intermediate,2021
386,Deep Learning Specialization,IT & Software,Cybersecurity,French,"Networking, Azure, DevOps, Critical Thinking, AWS",Christopher Anderson,4.6 stars,69300,19 hours,FutureLearn,$49,Yes,Advanced,2022
387,Python for Everybody,Data Science,Statistics,English,"SQL, Machine Learning, R, Power BI, Python",Crystal Garcia,3.7 stars,77610,32 hours,Udemy,$29,Yes,Intermediate,2021
388,Statistics with Python,Data Science,Machine Learning,English,"Excel, Machine Learning, Python, R, SQL",David Reynolds,4.9 stars,17493,32 hours,edX,$19,Yes,Intermediate,2024
389,Full-Stack Web Development with React,Computer Science,Web Development,Spanish,"React, JavaScript, SQL, AWS, Azure",Charles Haley,4.9 stars,9647,55 hours,FutureLearn,$299,Yes,Intermediate,2020
390,Data Structures and Algorithms Specialization,Data Science,Statistics,English,"Deep Learning, Python, Machine Learning, Excel, R",Robert Thompson,4.3 stars,18183,36 hours,edX,$29,Yes,Intermediate,2022
391,AI For Everyone,Data Science,Deep Learning,English,"SQL, Python, R, Deep Learning, Excel",Dr. Samuel Holmes DDS,4.2 stars,77723,30 hours,Udemy,$29,Yes,Intermediate,2020
